gold externalButtons 873 on 440 pages / 198 modules (prepared 198, prep refused 0)
  source: HREF 526 · TEXT-only 140 · NONE 207 · NOPREP 0

== gold buttons by WT source signature (count · pages · modules · Claude today) ==
  NONE                                                        207 · 135 pages ·  84 mods · claude {"ABSENT":187,"PLAIN":7,"A":11,"BUTTON_PLAIN":1,"BUTTON":1}
  HREF/para/[link button]/INLINE/URL                            1 ·   1 pages ·   1 mods · claude {"ABSENT":1}
  TEXT/para/[button link]/INLINE                                1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[insert link]/INLINE                                1 ·   1 pages ·   1 mods · claude {"BUTTON":1}
  HREF/para/[accordion]/INLINE/URL                              1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[button for external]/STANDALONE/URL                1 ·   1 pages ·   1 mods · claude {"BUTTON_PLAIN":1}
  TEXT/para/[front h]/INLINE                                    1 ·   1 pages ·   1 mods · claude {"BUTTON_PLAIN":1}
  HREF/para/[]/STANDALONE/URL                                   1 ·   1 pages ·   1 mods · claude {"ABSENT":1}
  HREF/para/[link on text]/STANDALONE/URL                       1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[insert link on]/INLINE/URL                         1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[images are snipped]/STANDALONE                     1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[insert link]/STANDALONE                            1 ·   1 pages ·   1 mods · claude {"BUTTON":1}
  TEXT/para/[insert button]/INLINE                              1 ·   1 pages ·   1 mods · claude {"ABSENT":1}
  HREF/para/[insert linkbutton]/STANDALONE/URL                  1 ·   1 pages ·   1 mods · claude {"A":1}

== label vs the writer's link text (HREF-sourced para buttons) ==
  same 34 · "Go to …" 25 · other 52 · writer link is a bare URL 341
    TRR301 TRR301_3.0.html: "Pick a path story" → "Tīpakotia he ara / Pick a path story"  [[Item 129] [Powerpoint]] STANDALONE
    SSFUN02 SSFUN02_00.html: "HEREhttps://geology.com/world/world-map.shtml" → "World map"  [[link]] INLINE
    TEFUN07 TEFUN07.html: "the three baskets of knowledge that Tāne brought down from t" → "Knowledge basket"  [[Body] | [Link 1, to https://www.knowledge-basket.] INLINE
    CEDK102 CEDK102.html: "Free Online AI Photo Editor, Image Generator & Design tool (" → "Pixlr Photo Editor"  [[Button – link to website]] INLINE
    CEDK102 CEDK102.html: "Free Online AI Photo Editor, Image Generator & Design tool (" → "Pixlr"  [[Button – link to website]] INLINE
    CEDO102 CEDO102_0.0.html: "ttps://www.doc.govt.nz/nature/native-animals/marine-mammals/" → "Māui dolphin"  [untagged] INLINE
    CEDT404 CEDT404.html: "November 29, 2021: NGĀ MOTU! Discover the world of Te Ao Māo" → "Ngā Motu"  [untagged] STANDALONE
    TWHK903 TWHK903_Digital_Citizenship.html: "IOS Guided Control" → "iOS Guided Access"  [[Button: | Control] and | [Button: | ]] INLINE
    TWHK903 TWHK903_Digital_Citizenship.html: "Netsafe - Reporting" → "Netsafe &ndash; Reporting"  [[button: | ]] INLINE
    AGH1001 AGH1001.03.html: "Kiwi Kai interactive game" → "kiwikai.nz"  [Kiwi Kai:] STANDALONE
    AGH1009 AGH1009.04.0.html: "Close to 60 people hospitalised from 2016 Havelock North gas" → "Hawke's Bay case"  [untagged] STANDALONE
    AGH1009 AGH1009.08.html: "NZGAP" → "Crop growers"  [Here is a link to an example of an environmental p] STANDALONE
    ANZH101 ANZH101_1.0.html: "ANZH Tangata Whenua – video 2" → "Tangata Whenua"  [[Video]] STANDALONE
    ANZH205 ANZH205_01.0.html: "Link to letter" → "Image of the letter"  [[Image – Website Link]] INLINE
    ANZH205 ANZH205_01.0.html: "Link to He Whakaputanga" → "Image of He Whakaputanga"  [[Image – Website Link]] INLINE

== by template (all gold buttons: HREF / TEXT / NONE) ==
  Standard       661 · HREF 397 · TEXT 106 · NONE 158
  Inquiry        126 · HREF 78 · TEXT 11 · NONE 37
  Fundamentals   81 · HREF 50 · TEXT 20 · NONE 11
  Bilingual      5 · HREF 1 · TEXT 3 · NONE 1
