
== ALL — Claude row-open h3 with no gold heading of that text: 764
  gold reworded (p) → [('AGH1005', 'AGH1005_1_0.html', 'Here is an example of New Zealand viticulture using the Mauri Model.'), ('BLL253', 'BLL253_2_0.html', 'Decide whether each of these sentences are TRUE or FALSE.'), ('ENGI102', 'ENGI102_10_0.html', 'Stories from around the world crossword'), ('ENGR301', 'ENGR301_0_0.html', '“Persuasion is not a science but an art” William Bernbach'), ('MXFL401', 'MXFL401_6_0.html', 'If Tiana wants to create 3 sets, she would multiply each part of the r')]
  NOWHERE in gold — WT untagged → [('AGH1005', 'AGH1005_2_0.html', 'Flowers'), ('AGH1009', 'AGH1009_6_0.html', 'Crop rotation cycles'), ('AGH1009', 'AGH1009_8_0.html', 'Lesson 8:'), ('ANZH303', 'ANZH303_6_0.html', 'The signing'), ('ART1002', 'ART1002_1_0.html', 'Introduction:')]
  gold header/menu h1 → [('AGH1005', 'AGH1005_4_0.html', 'Respiration'), ('AGH1005', 'AGH1005_5_0.html', 'Transpiration'), ('AGH1008', 'AGH1008_3_0.html', 'Supplementary Feed'), ('ANZH301', 'ANZH301_1_0.html', 'Life before, during and after the Second World War'), ('ANZH303', 'ANZH303_4_0.html', 'Innovation, Interactions and Mana.')]
  gold merged into h3 → [('AGH1006', 'AGH1006_1_0.html', 'Practical Example'), ('CEDW501', 'CEDW501_2_1.html', 'Strong versus weak walls –'), ('HES1006', 'HES1006_7_0.html', 'Practice question')]
  gold reworded (h3) → [('AGH1006', 'AGH1006_2_0.html', 'How to propagate from a cutting'), ('AGH1006', 'AGH1006_2_0.html', 'How to Propagate from Grafting'), ('OSAH501', 'OSAH501_3_0.html', 'What to do if you encounter these situations:'), ('TEDC402', 'TEDC402_3_0.html', 'Part 1: The main parts of a computer part')]
  gold inside WIDGET (h4) → [('AGH1006', 'AGH1006_6_0.html', 'Cultural control'), ('AGH1006', 'AGH1006_6_0.html', 'Biological Control'), ('AGH1006', 'AGH1006_6_0.html', 'Integrated Weed Management'), ('BLL254', 'BLL254_1_0.html', 'Bought and brought'), ('BLL254', 'BLL254_2_0.html', 'An important note')]
  gold inside WIDGET (li) → [('AGH1006', 'AGH1006_8_0.html', 'Diseases'), ('AGH1007', 'AGH1007_9_0.html', 'Bacteria'), ('AGH1007', 'AGH1007_9_0.html', 'Virus'), ('AGH1007', 'AGH1007_9_0.html', 'Fungi'), ('AGH1007', 'AGH1007_9_0.html', 'Parasite')]
  gold a → [('AGH1007', 'AGH1007_4_0.html', 'The Amazing Cow: An introduction to ruminant digestive systems.')]
  gold merged into li → [('AGH1009', 'AGH1009_6_0.html', 'Precision agriculture and soil testing')]
  gold merged into h4 → [('ANZH303', 'ANZH303_6_0.html', 'Motives for a Declaration'), ('ENGI102', 'ENGI102_8_0.html', 'Cook Islands:')]
  NOWHERE in gold — WT h2 → [('ANZH304', 'ANZH304_2_0.html', 'Aotearoa – The Last and the Loveliest?'), ('ART1002', 'ART1002_5_0.html', 'Activity 1: What is in a Visual Arts Diary?'), ('ART1004', 'ART1004_0_0.html', 'TASK 2: Who am I? A portrait of me and my environment'), ('ART1006', 'ART1006_2_0.html', 'Activity 1: Choose your materials and plan the process'), ('ART1006', 'ART1006_3_1.html', 'Step 1: Create a time limit on your project')]
  gold reworded (h2) → [('ANZH401', 'ANZH401_2_0.html', 'Tauiwi – Push and Pull Factors of Tauiwi')]
  gold merged into h2 → [('ANZH401', 'ANZH401_5_0.html', 'with Tangata Whenua')]
  NOWHERE in gold — WT h1 → [('ARFUN04', 'ARFUN04_0_0.html', 'Title: Exploring Visual Arts'), ('ART1005', 'ART1005_0_0.html', 'How to present your learning:'), ('ENG1004', 'ENG1004_0_0.html', 'Speak up'), ('ENGFUN02', 'ENGFUN02_0_0.html', 'Lesson 1'), ('ENGFUN02', 'ENGFUN02_1_0.html', 'Lesson 2')]
  gold header/menu li → [('ART1006', 'ART1006_0_0.html', 'Ākonga will learn how to pursue a project aligned with their interests'), ('ART1006', 'ART1006_0_0.html', 'Ākonga will complete a self-chosen passion project using an appropriat'), ('XGF9002', 'XGF9002_1_0.html', 'Purpose'), ('XGF9002', 'XGF9002_1_0.html', 'Key Ideas'), ('XGF9002', 'XGF9002_1_0.html', 'Reflective prompt')]
  NOWHERE in gold — WT title → [('BLL111', 'BLL111_0_0.html', 'Module 1 – s, a, t, p, i, n.'), ('BLL131', 'BLL131_0_0.html', 'Module 1 - g, o, u, l, b, f'), ('BLL132', 'BLL132_0_0.html', 'Module 2 - g, o, u, l, b, f'), ('BLL133', 'BLL133_0_0.html', 'Module 3 - g, o, u, l, b, f'), ('BLL134', 'BLL134_0_0.html', 'Module 4 - g, o, u, l, b, f')]
  NOWHERE in gold — WT introduction → [('BLL115', 'BLL115_0_0.html', 'animation?'), ('BLL116', 'BLL116_0_0.html', 'Animation?'), ('BLL117', 'BLL117_0_0.html', 'Animation?'), ('BLL141', 'BLL141_0_0.html', 'Introduction'), ('BLL142', 'BLL142_0_0.html', 'Introduction')]
  gold inside WIDGET (p) → [('BLL253', 'BLL253_2_0.html', 'Find these words in the article.'), ('BLL253', 'BLL253_2_0.html', 'Imagine your town or city gets a giant sculpture'), ('XGF9006', 'XGF9006_2_0.html', 'If you had a whole day to do anything you want, what would you pick?'), ('XGF9006', 'XGF9006_4_0.html', 'Main Idea?')]
