JPN1004	5.0	selfCheck	X		«[MTK Quiz –Auto check]»	after«»	cell0«»	head«»	owner«»	prev«p»
JPN1004	6.0	typing	X		«[Typing Sentences Quiz Auto Check]»	after«»	cell0«»	head«»	owner«»	prev«e»
JPN1004	6.0	typing	X		«[Typing Quiz Paragraph Auto Check]»	after«»	cell0«»	head«»	owner«»	prev«T!»
JPN1004	9.0	dropDown	X		«[Dropdown Quiz – auto Check]»	after«»	cell0«»	head«»	owner«»	prev«p»
MUS1006	3.0	dropDown	E		«[DROPBOX] SUMMATIVE ASSESSMENT»	after«»	cell0«»	head«»	owner«»	prev«p»
MXDI201	3.0	carousel	X		«[slide show] [item #41]»	after«Split Strategy PowerPoint – Tw»	cell0«»	head«»	owner«»	prev«p»
MXEO202	1.0	selfCheck	X		«[Self check] Can we have the number of sides as a »	after«»	cell0«»	head«»	owner«»	prev«p»
MXEO202	1.0	dragAndDrop	X		«[drag and drop]»	after«Can we make something like thi»	cell0«»	head«»	owner«»	prev«X»
MXEO301	3.0	multiChoiceQuiz	E		«[Link for quiz]»	after«https://docs.google.com/docume»	cell0«»	head«»	owner«»	prev«e»
MXEO401	4.0	typing	X		«[Selfcheck] Questions here about each graph.»	after«»	cell0«»	head«»	owner«»	prev«I»
MXEX302	7.0	clickDrop	X		«[Click drop image]»	after«»	cell0«»	head«»	owner«»	prev«I»
MXEX302	7.0	clickDrop	X		«[Click drop image]»	after«»	cell0«»	head«»	owner«»	prev«X»
MXFU302	1.0	selectionBox	X		«[Inline checkbox activity] Answers in red]»	after«»	cell0«»	head«»	owner«»	prev«I»
MXFU302	1.0	selectionBox	X		«[Inline checkbox activity] Answers in red]»	after«»	cell0«»	head«»	owner«»	prev«X»
MXFU302	1.0	selectionBox	X		«[Inline checkbox activity] Answers in red]»	after«»	cell0«»	head«»	owner«»	prev«I»
MXFU302	3.0	multiChoiceQuiz	h p p p p p p p		«[Activity 3A Multichoice Check]»	after«»	cell0«»	head«**Understanding Expected Values in Sports**»	owner«»	prev«X!»
MXFU402	7.0	dropDown	E		«[upload to dropbox] [trigger engagement]»	after«»	cell0«»	head«»	owner«»	prev«p»
MXS1004	8.0	dropDown	E		«[Button][dropbox]»	after«»	cell0«»	head«»	owner«»	prev«h»
OSAI401	4.0	modal	X		«[modal button]»	after«https://drive.google.com/file/»	cell0«»	head«»	owner«»	prev«p!»
OSBY201	2.0	modal	E		«[modal]»	after«https://resource.netsafe.org.n»	cell0«»	head«»	owner«»	prev«p»
OSBY401	2.0	accordion	X		«[Accordion]»	after«»	cell0«»	head«»	owner«»	prev«T!»
OSOH101	2.0	modal	h p p p p X		«[modal]»	after«https://drive.google.com/file/»	cell0«»	head«Fun screen time limits»	owner«»	prev«I»
OSOH201	2.0	modal	X		«[modal] Please create a visual poster»	after«Student_Password_Manager_Guide»	cell0«»	head«»	owner«»	prev«p»
OSOH201	2.0	modal	E		«[modal]»	after«https://www.privacy.org.nz/ass»	cell0«»	head«»	owner«»	prev«X»
OSOH201	3.0	modal	X		«[modal]»	after«**Ākonga Online User Agreement»	cell0«»	head«»	owner«»	prev«p»
OSOH401	3.0	typing	X		«[typing self-check]»	after«Type your reflections on the f»	cell0«»	head«»	owner«»	prev«p»
OSOH401	3.0	modal	X		«[modal]»	after«Ākonga 13-15 Years Old Online »	cell0«»	head«»	owner«»	prev«p»
OSSC301	1.0	carousel	h p X		«[carousel/slideshow]»	after«https://docs.google.com/presen»	cell0«»	head«Which scam is it?»	owner«»	prev«p»
PES1008	7.0	tabs	X		«[tabs from PHO1031 lesson 1]»	after«»	cell0«»	head«»	owner«»	prev«e»
PHE1002	2.0	typing	E		«[Activity box - short answer typing box]»	after«»	cell0«»	head«»	owner«»	prev«X!»
PHE1003	7.0	tabs	h e p p p h p p		«[Tabs]»	after«»	cell0«»	head«Alofa/Aroha/Ofa/Aloha»	owner«»	prev«h»
