pairs 1956; position-free ratio mean 73.082 % (the gate's difflib ratio is at most this; the gap is the ORDER loss)
total skeleton lines: gold 229189 / claude 197222; EXTRA lines (claude over gold, per page) 45894; MISSING lines (gold over claude) 77861

==== EXTRA — labels Claude ships more of than the gold on the same page (sum of per-page excess) ====
 excess  pages  mods gold-tot  cl-tot  label  |  where
    272     52    35      272       0  div.audioImage  |  template=Bilingual 115 (0.42); subject=Te Marautanga o Aotearoa TMoA 115 (0.42); subject=1-10 Blended Literacy 106 (0.39); template=Inquiry 76 (0.28)
    271    187   133      443     235  div.flipCardsContainer.row  |  template=Standard 166 (0.61); template=Inquiry 56 (0.21); subject=1-10 Blended Literacy 44 (0.16); template=Fundamentals 40 (0.15)
    270      6     6      270       0  span.ch-text  |  template=Fundamentals 269 (1.00); subject=None 269 (1.00); template=Standard 1 (0.00); subject=1-10 Mathematics 1 (0.00)
    260     34    15      306      47  mi  |  template=Standard 260 (1.00); subject=NCEA1 177 (0.68); subject=1-10 Mathematics 80 (0.31); subject=ConnectED 2 (0.01)
    256    207   152      571     668  ┌ 6× repeated:  |  template=Standard 186 (0.73); subject=1-10 Mathematics 54 (0.21); subject=1-10 English 35 (0.14); subject=1-10 Blended Literacy 33 (0.13)
    245    136    64      323     108  div.col-12.col-md-6.offset-md-0  |  template=Standard 198 (0.81); subject=ANZH 69 (0.28); subject=1-10 Mathematics 62 (0.25); subject=1-10 Social Science 26 (0.11)
    236    104    59      236       0  div.col-8  |  template=Standard 93 (0.39); template=Inquiry 87 (0.37); subject=1-10 Blended Literacy 86 (0.36); template=Fundamentals 56 (0.24)
    221    173   103      259     103  div.alert.top  |  template=Standard 160 (0.72); subject=NCEA1 67 (0.30); template=Fundamentals 46 (0.21); subject=1-10 English 39 (0.18)
    209    138    44      475     811  h4.goJournal  |  template=Standard 201 (0.96); subject=1-10 Mathematics 61 (0.29); subject=1-10 English 54 (0.26); subject=None 29 (0.14)
    208     75    54      208       0  div.col-4  |  subject=1-10 Blended Literacy 130 (0.62); template=Inquiry 119 (0.57); template=Standard 76 (0.37); subject=1-10 Mathematics 42 (0.20)
    207      5     5      207       0  span.pinyin  |  template=Fundamentals 207 (1.00); subject=None 207 (1.00)
    205    136    98      303     184  div.col-12.col-md-4.paddingLR  |  template=Standard 128 (0.62); subject=1-10 Blended Literacy 71 (0.35); template=Inquiry 64 (0.31); subject=1-10 Mathematics 30 (0.15)
    198    130    87      210      78  div.col-12.col-md-4  |  template=Standard 133 (0.67); subject=1-10 Blended Literacy 31 (0.16); template=Inquiry 29 (0.15); subject=1-10 English 26 (0.13)
    196    117    79      403     648  th  |  template=Standard 177 (0.90); subject=1-10 Mathematics 69 (0.35); subject=1-10 English 48 (0.24); subject=NCEA1 19 (0.10)

run 56.0 s
