Claude row-opening h3 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h3: 2942
   gold h4 row-open                       6 (0.10)  pages    5 / modules   1
   gold h3 nested:activity                2 (0.03)  pages    2 / modules   2
   gold h4 nested:alert                   2 (0.03)  pages    2 / modules   1
   gold h4 inline after p                 2 (0.03)  pages    1 / modules   1
   gold h4 inline after activity          2 (0.03)  pages    2 / modules   1
   gold h3 inline after p                 1 (0.02)  pages    1 / modules   1

== series=TRR10 — Claude row-open h3: 60
   gold h3 row-open                      26 (0.43)  pages   11 / modules   4
   NOT-IN-GOLD                           14 (0.23)  pages   10 / modules   5
   gold h3 nested:activity               12 (0.20)  pages    7 / modules   4
   gold h2 row-open                       3 (0.05)  pages    2 / modules   1
   gold h2 nested:activity                1 (0.02)  pages    1 / modules   1
   gold h3 nested:alert                   1 (0.02)  pages    1 / modules   1
   gold h4 nested:alert                   1 (0.02)  pages    1 / modules   1
   gold h2 deep                           1 (0.02)  pages    1 / modules   1
   gold h3 deep                           1 (0.02)  pages    1 / modules   1

== series=MXFL3 — Claude row-open h3: 55
   gold h3 row-open                      35 (0.64)  pages   14 / modules   2
   NOT-IN-GOLD                           12 (0.22)  pages    6 / modules   1
   gold h3 inline after p                 5 (0.09)  pages    5 / modules   2
   gold h4 nested:alert                   2 (0.04)  pages    2 / modules   2
   gold h3 nested:activity                1 (0.02)  pages    1 / modules   1

== series=ENGI4 — Claude row-open h3: 54
   gold h3 row-open                      23 (0.43)  pages   13 / modules   3
   NOT-IN-GOLD                           10 (0.19)  pages    4 / modules   3
   gold h4 row-open                       7 (0.13)  pages    5 / modules   2
   gold h4 nested:activity                4 (0.07)  pages    1 / modules   1
   gold h2 row-open                       3 (0.06)  pages    2 / modules   1
   gold h5 row-open                       3 (0.06)  pages    2 / modules   1
   gold h4 inline after col               1 (0.02)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.02)  pages    1 / modules   1
   gold h3 inline after p                 1 (0.02)  pages    1 / modules   1
   gold h4 deep                           1 (0.02)  pages    1 / modules   1

== series=ANZH3 — Claude row-open h3: 53
   gold h3 row-open                      17 (0.32)  pages    9 / modules   3
   NOT-IN-GOLD                           14 (0.26)  pages   11 / modules   3
   gold h3 col-open                       7 (0.13)  pages    6 / modules   2
   gold h3 inline after p                 5 (0.09)  pages    4 / modules   1
   gold h2 col-open                       3 (0.06)  pages    3 / modules   1
   gold h3 deep                           2 (0.04)  pages    1 / modules   1
   gold h4 deep                           1 (0.02)  pages    1 / modules   1
   gold h3 inline after alert             1 (0.02)  pages    1 / modules   1
   gold h3 inline after img               1 (0.02)  pages    1 / modules   1
   gold h3 inline after a                 1 (0.02)  pages    1 / modules   1
   gold h3 inline after row               1 (0.02)  pages    1 / modules   1

== series=SSCI2 — Claude row-open h3: 53
   gold h3 row-open                      38 (0.72)  pages    9 / modules   1
   gold h3 nested:alert                   8 (0.15)  pages    8 / modules   1
   NOT-IN-GOLD                            4 (0.08)  pages    3 / modules   1
   gold h2 row-open                       2 (0.04)  pages    2 / modules   1
   gold h3 nested:activity                1 (0.02)  pages    1 / modules   1

== series=TRR11 — Claude row-open h3: 53
   NOT-IN-GOLD                           22 (0.42)  pages   11 / modules   4
   gold h3 nested:activity               21 (0.40)  pages   14 / modules   3
   gold h3 row-open                      10 (0.19)  pages    5 / modules   1

== series=MXFL2 — Claude row-open h3: 48
   NOT-IN-GOLD                           20 (0.42)  pages   15 / modules   4
   gold h3 row-open                      15 (0.31)  pages   11 / modules   4
   gold h3 nested:activity                6 (0.12)  pages    5 / modules   2
   gold h2 row-open                       3 (0.06)  pages    3 / modules   2
   gold h3 inline after p                 1 (0.02)  pages    1 / modules   1
   gold h3 inline after img               1 (0.02)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.02)  pages    1 / modules   1
   gold h3 nested:alert                   1 (0.02)  pages    1 / modules   1

== series=MXDI2 — Claude row-open h3: 46
   NOT-IN-GOLD                           19 (0.41)  pages   11 / modules   2
   gold h2 row-open                      12 (0.26)  pages    8 / modules   2
   gold h3 row-open                      12 (0.26)  pages    7 / modules   2
   gold h3 nested:activity                2 (0.04)  pages    2 / modules   1
   gold h4 row-open                       1 (0.02)  pages    1 / modules   1

== series=CEDT5 — Claude row-open h3: 43
   gold h3 row-open                      17 (0.40)  pages   11 / modules   1
   gold h2 row-open                      15 (0.35)  pages    7 / modules   1
   gold h3 nested:activity                4 (0.09)  pages    3 / modules   1
   NOT-IN-GOLD                            4 (0.09)  pages    2 / modules   1
   gold h3 inline after p                 3 (0.07)  pages    1 / modules   1

== series=XTAS1 — Claude row-open h3: 43
   gold h3 row-open                      23 (0.53)  pages   12 / modules   3
   NOT-IN-GOLD                           11 (0.26)  pages   11 / modules   3
   gold h3 inline after p                 4 (0.09)  pages    4 / modules   3
   gold h3 nested:activity                2 (0.05)  pages    2 / modules   1
   gold h3 deep                           1 (0.02)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.02)  pages    1 / modules   1
   gold h3 inline after list              1 (0.02)  pages    1 / modules   1

== series=MXFU3 — Claude row-open h3: 38
   gold h3 row-open                      20 (0.53)  pages   11 / modules   2
   NOT-IN-GOLD                            9 (0.24)  pages    8 / modules   2
   gold h3 inline after p                 2 (0.05)  pages    2 / modules   2
   gold h3 nested:activity                2 (0.05)  pages    2 / modules   1
   gold h3 inline after WIDGET            1 (0.03)  pages    1 / modules   1
   gold h3 deep                           1 (0.03)  pages    1 / modules   1
   gold h3 inline after img               1 (0.03)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.03)  pages    1 / modules   1
   gold h3 nested:alert                   1 (0.03)  pages    1 / modules   1

== series=ART10 — Claude row-open h3: 37
   NOT-IN-GOLD                           33 (0.89)  pages    9 / modules   5
   gold h3 inline after video             1 (0.03)  pages    1 / modules   1
   gold h3 row-open                       1 (0.03)  pages    1 / modules   1
   gold h2 inline after p                 1 (0.03)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.03)  pages    1 / modules   1

== series=ENGI2 — Claude row-open h3: 36
   gold h3 row-open                      23 (0.64)  pages   15 / modules   3
   gold h3 nested:activity                8 (0.22)  pages    6 / modules   2
   gold h4 row-open                       4 (0.11)  pages    3 / modules   2
   NOT-IN-GOLD                            1 (0.03)  pages    1 / modules   1

== series=MXFU2 — Claude row-open h3: 33
   NOT-IN-GOLD                           19 (0.58)  pages    9 / modules   2
   gold h3 row-open                       9 (0.27)  pages    8 / modules   2
   gold h3 nested:activity                4 (0.12)  pages    4 / modules   2
   gold h2 row-open                       1 (0.03)  pages    1 / modules   1

== series=SSOG1 — Claude row-open h3: 33
   NOT-IN-GOLD                           13 (0.39)  pages    3 / modules   2
   gold h3 row-open                       8 (0.24)  pages    4 / modules   2
   gold h3 nested:alert                   4 (0.12)  pages    3 / modules   1
   gold h5 nested:activity                3 (0.09)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.03)  pages    1 / modules   1
   gold h4 nested:alert                   1 (0.03)  pages    1 / modules   1
   gold h2 inline after alert             1 (0.03)  pages    1 / modules   1
   gold h2 row-open                       1 (0.03)  pages    1 / modules   1
   gold h3 inline after p                 1 (0.03)  pages    1 / modules   1

== series=MXDB3 — Claude row-open h3: 31
   gold h3 row-open                      10 (0.32)  pages    6 / modules   1
   gold h3 inline after p                 7 (0.23)  pages    6 / modules   1
   gold h4 row-open                       7 (0.23)  pages    4 / modules   1
   NOT-IN-GOLD                            4 (0.13)  pages    3 / modules   2
   gold h4 inline after row               1 (0.03)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.03)  pages    1 / modules   1
   gold h3 inline after alert             1 (0.03)  pages    1 / modules   1

== series=ANZH4 — Claude row-open h3: 30
   gold h3 row-open                       7 (0.23)  pages    2 / modules   1
   gold h3 nested:activity                5 (0.17)  pages    4 / modules   1
   NOT-IN-GOLD                            5 (0.17)  pages    5 / modules   1
   gold h2 row-open                       4 (0.13)  pages    4 / modules   2
   gold h2 inline after alert             3 (0.10)  pages    3 / modules   1
   gold h3 inline after p                 2 (0.07)  pages    2 / modules   2
   gold h3 deep                           1 (0.03)  pages    1 / modules   1
   gold h3 nested:alert                   1 (0.03)  pages    1 / modules   1
   gold h4 inline after h3                1 (0.03)  pages    1 / modules   1
   gold h2 inline after h2                1 (0.03)  pages    1 / modules   1

== series=MXFUN — Claude row-open h3: 30
   gold h3 row-open                      25 (0.83)  pages    6 / modules   1
   gold h3 nested:activity                2 (0.07)  pages    2 / modules   1
   gold h3 deep                           2 (0.07)  pages    1 / modules   1
   gold h3 inline after h2                1 (0.03)  pages    1 / modules   1

