Claude row-opening h4 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h4: 1174
   gold h5 inline after p                 5 (0.06)  pages    3 / modules   3
   gold h4 deep                           4 (0.05)  pages    3 / modules   3
   gold h5 row-open                       3 (0.03)  pages    3 / modules   3
   gold h4 inline after video             3 (0.03)  pages    3 / modules   3
   gold h4 inline after a                 2 (0.02)  pages    2 / modules   2
   gold h5 inline after h2                1 (0.01)  pages    1 / modules   1
   gold h4 inline after h3                1 (0.01)  pages    1 / modules   1
   gold h3 nested:activity                1 (0.01)  pages    1 / modules   1
   gold h4 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h5 inline after video             1 (0.01)  pages    1 / modules   1

== subject+ptype=EXPlore/overview — Claude row-open h4: 85
   NOT-IN-GOLD                           30 (0.35)  pages    6 / modules   6
   gold h3 inline after WIDGET           28 (0.33)  pages    3 / modules   3
   gold h3 row-open                      11 (0.13)  pages    3 / modules   3
   gold h2 inline after WIDGET            6 (0.07)  pages    1 / modules   1
   gold h2 row-open                       6 (0.07)  pages    1 / modules   1
   gold h3 col-open                       3 (0.04)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.01)  pages    1 / modules   1

== subject+ptype=NCEA1/lesson — Claude row-open h4: 84
   NOT-IN-GOLD                           42 (0.50)  pages   20 / modules  14
   gold h4 inline after p                 9 (0.11)  pages    8 / modules   7
   gold h4 inline after h3                7 (0.08)  pages    7 / modules   2
   gold h2 row-open                       5 (0.06)  pages    3 / modules   3
   gold h4 row-open                       4 (0.05)  pages    3 / modules   3
   gold h4 inline after row               3 (0.04)  pages    2 / modules   2
   gold h3 row-open                       3 (0.04)  pages    3 / modules   3
   gold h4 inline after alert             2 (0.02)  pages    2 / modules   1
   gold h4 nested:alert                   2 (0.02)  pages    2 / modules   2
   gold h4 deep                           2 (0.02)  pages    1 / modules   1
   gold h3 inline after p                 1 (0.01)  pages    1 / modules   1
   gold h3 inline after list              1 (0.01)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h4 inline after h2                1 (0.01)  pages    1 / modules   1

== subject+ptype=ConnectED/lesson — Claude row-open h4: 76
   NOT-IN-GOLD                           24 (0.32)  pages    7 / modules   3
   gold h4 row-open                      21 (0.28)  pages    5 / modules   1
   gold h3 row-open                      13 (0.17)  pages    8 / modules   4
   gold h3 nested:activity                8 (0.11)  pages    8 / modules   5
   gold h5 nested:table                   2 (0.03)  pages    1 / modules   1
   gold h4 inline after p                 2 (0.03)  pages    2 / modules   1
   gold h2 row-open                       2 (0.03)  pages    1 / modules   1
   gold h3 inline after row               1 (0.01)  pages    1 / modules   1
   gold h4 inline after object            1 (0.01)  pages    1 / modules   1
   gold h4 inline after h3                1 (0.01)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.01)  pages    1 / modules   1

== series=EXPFU — Claude row-open h4: 75
   gold h3 inline after WIDGET           28 (0.37)  pages    3 / modules   3
   NOT-IN-GOLD                           20 (0.27)  pages    5 / modules   5
   gold h3 row-open                      11 (0.15)  pages    3 / modules   3
   gold h2 inline after WIDGET            6 (0.08)  pages    1 / modules   1
   gold h2 row-open                       6 (0.08)  pages    1 / modules   1
   gold h3 col-open                       3 (0.04)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.01)  pages    1 / modules   1

== template+ptype=Standard/overview — Claude row-open h4: 61
   NOT-IN-GOLD                           46 (0.75)  pages   12 / modules  12
   gold h3 row-open                       5 (0.08)  pages    3 / modules   3
   gold h3 deep                           5 (0.08)  pages    1 / modules   1
   gold h2 inline after alert             1 (0.02)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.02)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.02)  pages    1 / modules   1
   gold h5 row-open                       1 (0.02)  pages    1 / modules   1
